信号类型,评分,突破/底部日期,突破价/前高,回踩低点,回踩幅度,当前价,距低点涨幅,成交额倍量比,回踩周数,距今(周),股票代码,股票名称,ATR%,网格步长,RPS120(百分位),10日涨幅排名,突破后涨幅,W2量能比(vs W1),gain_w1,日线确认,辨识度级别
买点2,5.0,2026-05-22,58.87,52.52,10.8%,64.36,+22.5%,1.41,3.0,4,sz.301045,天禄科技,5.97,7.16,95.7,248,,,,,1
买点2,5.0,2026-05-22,92.87,78.08,15.9%,101.0,+29.4%,0.95,3.0,4,sz.301182,凯旺科技,7.08,8.5,97.8,345,,,,,1
买点2,5.0,2026-05-15,261.72,213.5,18.4%,262.36,+22.9%,1.09,4.0,5,sz.301183,东田微,7.46,8.95,87.6,409,,,,,3
买点2,5.0,2026-05-29,279.0,277.0,0.7%,337.0,+21.7%,1.11,2.0,3,sz.301200,大族数控,6.55,7.86,97.7,536,,,,,1
买点2,5.0,2026-06-05,337.74,303.93,10.0%,361.02,+18.8%,0.84,1.0,2,sz.301205,联特科技,8.48,10.18,96.2,738,,,,,2
买点2,5.0,2026-05-15,120.46,105.96,12.0%,135.3,+27.7%,1.61,4.0,5,sz.301285,鸿日达,5.0,6.0,92.9,320,,,,,2
买点1-W1(下周一入场),35.8,2026-06-18,174.0,,,174.0,,1.93,,0,sz.301306,西测测试,6.89,8.27,90.9,130,+0.0%,,0.2876,是,
买点2,5.0,2026-05-22,59.93,58.28,2.8%,65.88,+13.0%,1.08,3.0,4,sz.301307,美利信,7.03,8.44,91.4,679,,,,,2
买点2,5.0,2026-05-29,33.61,31.11,7.4%,39.39,+26.6%,0.92,2.0,3,sz.301321,翰博高新,7.19,8.63,95.3,131,,,,,1
买点2,5.0,2026-05-22,59.25,51.31,13.4%,61.15,+19.2%,1.57,3.0,4,sz.301328,维峰电子,6.67,8.0,94.0,728,,,,,2
买点2,5.0,2026-05-29,63.84,56.27,11.9%,64.63,+14.9%,1.4,2.0,3,sz.301349,信德新材,6.32,7.58,93.1,640,,,,,2
买点2,5.0,2026-05-22,189.28,177.8,6.1%,221.2,+24.4%,1.39,3.0,4,sz.301369,联动科技,5.94,7.13,97.1,404,,,,,1
买点2,5.0,2026-05-22,202.3,164.16,18.9%,210.61,+28.3%,1.72,3.0,4,sz.301392,汇成真空,6.67,8.0,85.4,218,,,,,3
