信号类型,评分,突破/底部日期,突破价/前高,回踩低点,回踩幅度,当前价,距低点涨幅,成交额倍量比,回踩周数,距今(周),股票代码,股票名称,ATR%,网格步长,RPS120(百分位),10日涨幅排名,突破后涨幅,W2量能比(vs W1),gain_w1,日线确认
买点1-W3(缩量),38.5,2026-04-24,24.16,,,29.71,,2.83,,2,sz.300518,新迅达,6.6,7.92,93.6,174,+23.0%,0.77,0.1306,大阴线
买点2,5.0,2026-04-24,260.1,256.69,1.3%,274.71,+7.0%,0.93,1.0,2,sz.300548,长芯博创,6.12,7.34,98.7,2200,,,,
买点1-W2(缩量),50.9,2026-04-30,59.05,,,62.95,,3.63,,1,sz.300613,富瀚微,5.4,6.48,81.5,41,+6.6%,0.6,0.053,大幅回吐/大阴线
买点2,5.0,2026-04-24,35.87,35.76,0.3%,39.71,+11.0%,1.18,1.0,2,sz.300657,弘信电子,5.13,6.16,79.2,640,,,,
买点2,5.0,2026-04-24,59.88,55.29,7.7%,66.0,+19.4%,0.83,1.0,2,sz.300668,杰恩股份,7.93,9.52,99.4,793,,,,
买点2,5.0,2026-04-24,23.5,23.28,0.9%,25.94,+11.4%,0.93,1.0,2,sz.300767,震安科技,4.9,5.88,75.7,599,,,,
买点1-W2(温和),37.5,2026-04-30,71.95,,,78.96,,2.5,,1,sz.300769,德方纳米,6.15,7.38,89.0,12,+9.7%,1.15,0.4273,是
买点2,5.0,2026-04-24,110.08,104.6,5.0%,114.3,+9.3%,0.98,1.0,2,sz.300776,帝尔激光,7.85,9.42,91.0,870,,,,
买点2,5.0,2026-04-17,14.8,14.26,3.6%,17.34,+21.6%,1.64,2.0,3,sz.300839,博汇股份,4.19,5.03,80.4,478,,,,
买点1-W2(缩量),48.1,2026-04-30,19.79,,,20.27,,2.7,,1,sz.300861,美畅股份,3.67,4.4,74.1,401,+2.4%,0.78,0.1553,是
买点2,5.0,2026-04-17,76.62,71.51,6.7%,90.26,+26.2%,1.45,2.0,3,sz.300868,杰美特,5.43,6.52,98.9,463,,,,
买点1-W1(下周一入场),38.5,2026-05-08,41.15,,,41.15,,2.83,,0,sz.300983,尤安设计,4.2,5.04,92.4,93,+0.0%,,0.2867,是
买点2,5.0,2026-04-24,123.79,116.81,5.6%,135.7,+16.2%,0.93,1.0,2,sz.301018,申菱环境,6.23,7.48,97.4,1214,,,,
买点2,5.0,2026-04-17,64.5,60.62,6.0%,67.8,+11.8%,0.62,2.0,3,sz.301053,远信工业,5.5,6.6,94.3,1216,,,,
买点2,5.0,2026-04-24,189.05,178.31,5.7%,191.75,+7.5%,0.94,1.0,2,sz.301128,强瑞技术,7.92,9.5,95.1,1291,,,,
买点2,5.0,2026-04-24,46.42,46.4,0.0%,49.19,+6.0%,0.73,1.0,2,sz.301133,金钟股份,4.74,5.69,93.1,1787,,,,
买点1-W2(缩量),46.3,2026-04-30,37.35,,,41.51,,2.11,,1,sz.301176,逸豪新材,6.77,8.12,87.8,58,+11.1%,0.65,0.273,大阴线
买点2,5.0,2026-04-17,82.0,81.3,0.9%,95.25,+17.2%,1.11,2.0,3,sz.301189,奥尼电子,8.16,9.79,98.3,950,,,,
买点2,5.0,2026-04-17,57.91,53.1,8.3%,62.41,+17.5%,1.46,2.0,3,sz.301228,实朴检测,5.37,6.44,96.5,771,,,,
买点2,5.0,2026-04-24,106.53,103.5,2.8%,109.9,+6.2%,0.73,1.0,2,sz.301285,鸿日达,5.05,6.06,95.9,2111,,,,
买点2,5.0,2026-04-17,62.4,58.73,5.9%,62.59,+6.6%,0.98,2.0,3,sz.301349,信德新材,4.61,5.53,81.3,3711,,,,
买点2,5.0,2026-04-17,162.14,156.11,3.7%,170.71,+9.4%,1.23,2.0,3,sz.301392,汇成真空,6.38,7.66,81.1,991,,,,
买点2,5.0,2026-04-24,332.45,316.74,4.7%,345.0,+8.9%,0.75,1.0,2,sz.301396,宏景科技,9.09,10.91,99.9,248,,,,
